label
Lepidoptera
unclassified Lepidoptera
Glossata
environmental samples <Lepidoptera>
Zeugloptera
Aglossata
Heterobathmiina
Lepitoptera incertae sedis
Lepidoptera sp. BOLD:AAB7674
Lepidoptera sp. BOLD:AAB8811
Lepidoptera sp. BOLD:AAB8816
Lepidoptera sp. BOLD:AAB8996
Lepidoptera sp. BOLD:AAB9473
Lepidoptera sp. BOLD:AAC0181
Lepidoptera sp. BOLD:AAC0507
Lepidoptera sp. BOLD:AAC0731
Lepidoptera sp. BOLD:AAC1720
Lepidoptera sp. BOLD:AAC1933
Lepidoptera sp. BOLD:AAC2113
Lepidoptera sp. BOLD:AAC2285
Lepidoptera sp. BOLD:AAC2370
Lepidoptera sp. BOLD:AAC2880
Lepidoptera sp. BOLD:AAC3203
Lepidoptera sp. BOLD:AAC3553
Lepidoptera sp. BOLD:AAC3645
Lepidoptera sp. BOLD:AAC3727
Lepidoptera sp. BOLD:AAC3896
Lepidoptera sp. BOLD:AAC4057
Lepidoptera sp. BOLD:AAC4087
Lepidoptera sp. BOLD:AAC4221
Lepidoptera sp. BOLD:AAC4769
Lepidoptera sp. BOLD:AAC7489
Lepidoptera sp. BOLD:AAC7660
Lepidoptera sp. BOLD:AAC7850
Lepidoptera sp. BOLD:AAC8003
Lepidoptera sp. BOLD:AAC8148
Lepidoptera sp. BOLD:AAC8280
Lepidoptera sp. BOLD:AAC8304
Lepidoptera sp. BOLD:AAC8430
Lepidoptera sp. BOLD:AAC8951
Lepidoptera sp. BOLD:AAC8956
Lepidoptera sp. BOLD:AAC9233
Lepidoptera sp. BOLD:AAC9426
Lepidoptera sp. BOLD:AAC9858
Lepidoptera sp. BOLD:AAC9941
Lepidoptera sp. BOLD:AAD0067
Lepidoptera sp. BOLD:AAD0102
Lepidoptera sp. BOLD:AAD0152
Lepidoptera sp. BOLD:AAD0589
Lepidoptera sp. BOLD:AAD0775
Lepidoptera sp. BOLD:AAD0894
Lepidoptera sp. BOLD:AAD1430
Lepidoptera sp. BOLD:AAD2475
Lepidoptera sp. BOLD:AAD2556
Lepidoptera sp. BOLD:AAD2678
Lepidoptera sp. BOLD:AAD2778
Lepidoptera sp. BOLD:AAD2869
Lepidoptera sp. BOLD:AAD3182
Lepidoptera sp. BOLD:AAD3998
Lepidoptera sp. BOLD:AAD4019
Lepidoptera sp. BOLD:AAD4075
Lepidoptera sp. BOLD:AAD4147
Lepidoptera sp. BOLD:AAD4480
Lepidoptera sp. BOLD:AAD4532
Lepidoptera sp. BOLD:AAD4698
Lepidoptera sp. BOLD:AAD4780
Lepidoptera sp. BOLD:AAD4785
Lepidoptera sp. BOLD:AAD5045
Lepidoptera sp. BOLD:AAD5240
Lepidoptera sp. BOLD:AAD6294
Lepidoptera sp. BOLD:AAD6356
Lepidoptera sp. BOLD:AAD6699
Lepidoptera sp. BOLD:AAD6700
Lepidoptera sp. BOLD:AAD6816
Lepidoptera sp. BOLD:AAD6871
Lepidoptera sp. BOLD:AAD7262
Lepidoptera sp. BOLD:AAD7295
Lepidoptera sp. BOLD:AAD7700
Lepidoptera sp. BOLD:AAD7716
Lepidoptera sp. BOLD:AAD9043
Lepidoptera sp. BOLD:AAD9949
Lepidoptera sp. BOLD:AAE1364
Lepidoptera sp. BOLD:AAE1486
Lepidoptera sp. BOLD:AAE1737
Lepidoptera sp. BOLD:AAE1814
Lepidoptera sp. BOLD:AAE1912
Lepidoptera sp. BOLD:AAE2347
Lepidoptera sp. BOLD:AAE3611
Lepidoptera sp. BOLD:AAE3854
Lepidoptera sp. BOLD:AAE3857
